gagnasafn,rod,lykill,dags,gildi,texti
skilgreiningar,raungildi_beint,mynd_krosslond,,NaN,"Beint raungildi fyrir Ísland í prósentum: 4,50 af verðtryggðum lánum, án Fisher-útreiknings."
skilgreiningar,efri_mork,mynd_krosslond,,NaN,"Efri mörk íslenska raunvaxtabilsins í prósentum: 5,50 af óverðtryggðum lánum."
skilgreiningar,athugasemd,mynd_krosslond,,NaN,"Skýringartexti við einstök lönd."
skilgreiningar,lanstimi,lanaform,,NaN,"Dæmigerður lánstími nýrra íbúðalána. Heimildir: Lea (2010), https://www.mba.org/docs/default-source/research---riha-reports/10122_research_riha_lea_report.pdf og Allianz/Dresdner Bank (2008), https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/migration/media/current/en/images/wp_europaeische_hypothekenmaerkte_eng.pdf"
skilgreiningar,festutimi,lanaform,,NaN,"Dæmigerður festutími vaxta eða endurverðlagning. Heimildir: sömu og lanstimi, auk ECB MIR um skiptingu fastra og breytilegra vaxta og Green og Wachter (2005), Journal of Economic Perspectives 19(4)."
skilgreiningar,uppgreidsla,lanaform,,NaN,"Reglur um uppgreiðslu og uppgreiðslugjöld. Heimildir: innlend löggjöf, t.d. Bersani-lögin á Ítalíu (lög 40/2007) og lög 5/2019 á Spáni, ásamt heimildunum að ofan."
skilgreiningar,vextir_10ara,rikisbref_1992_2002,,NaN,"Vextir 10 ára ríkisskuldabréfa í prósentum, ársmeðaltöl 1992-2002. Sótt: Eurostat, EMU convergence criterion series, https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/"
skilgreiningar,vextir_ibudalana,rir_ibudalan,,NaN,"Vextir nýrra íbúðalána heimila í prósentum, mánaðarleg gögn 1995-2003. Sótt sjálfvirkt: Seðlabanki Evrópu, Retail Interest Rates (RIR), raðir M.XX.A.A22......, https://data-api.ecb.europa.eu/service/data/RIR/ Dálkurinn dags er ár sem tugabrot."
skilgreiningar,policy_nominal_spread,island_finnland,,NaN,"Munur stýrivaxta Seðlabanka Íslands og ECB í prósentustigum, mánaðarleg gögn. Sótt: https://www.sedlabanki.is/hagtolur/ og https://www.ecb.europa.eu/stats/policy_and_exchange_rates/key_ecb_interest_rates/html/index.en.html"
skilgreiningar,ec_expected_hicp_1_2y,island_finnland,,NaN,"Vænt HICP-verðbólga evrusvæðisins 1-2 ár fram í prósentum, úr spám framkvæmdastjórnar ESB (AMECO). Sótt: https://economy-finance.ec.europa.eu/economic-research-and-databases/economic-databases/ameco-database_en"
skilgreiningar,spf_expected_hicp_1_2y,island_finnland,,NaN,"Vænt HICP-verðbólga evrusvæðisins 1-2 ár fram í prósentum, úr ECB Survey of Professional Forecasters. Sótt: https://www.ecb.europa.eu/stats/ecb_surveys/survey_of_professional_forecasters/html/index.en.html"
skilgreiningar,baseline_expected_hicp_1_2y,island_finnland,,NaN,"Vænt verðbólga sem notuð er í grunnmati raðarinnar: EC/AMECO frá 2011, annars ECB SPF. Sjá vaent_verdbolga_heimild."
skilgreiningar,baseline_expected_hicp_source,island_finnland,,NaN,"Textadálkur: hvor væntingaröðin er notuð í hverjum mánuði."
skilgreiningar,finland_nominal_mortgage_rate,island_finnland,,NaN,"Nafnvextir nýrra íbúðalána í Finnlandi í prósentum. Sótt: ECB MIR fyrir Finnland, https://data.ecb.europa.eu/"
skilgreiningar,finland_real_mortgage_rate_ec_forecast,island_finnland,,NaN,"Finnskir raunvextir í prósentum, Fisher-samband af nafnvöxtum og EC-væntingum."
skilgreiningar,finland_real_mortgage_rate_baseline,island_finnland,,NaN,"Finnskir raunvextir í prósentum, Fisher-samband af nafnvöxtum og grunnvæntingum (baseline)."
skilgreiningar,iceland_indexed_real_mortgage_rate,island_finnland,,NaN,"Íslenskir raunvextir í prósentum: verðtryggðir bankavextir íbúðalána, raunvextir samkvæmt skilgreiningu, engin verðbólguspá notuð. Sótt: Seðlabanki Íslands, https://www.sedlabanki.is/hagtolur/"
skilgreiningar,mortgage_real_spread_ec_forecast,island_finnland,,NaN,"Raunvaxtamunur íbúðalána Ísland að frádregnu Finnlandi í prósentustigum, með EC-væntingum."
skilgreiningar,mortgage_real_spread_baseline,island_finnland,,NaN,"Raunvaxtamunur íbúðalána Ísland að frádregnu Finnlandi í prósentustigum, grunnmat myndarinnar; sjá utskyringar."
skilgreiningar,vaent_verdbolga_heimild,island_finnland,,NaN,"Textaröð: heimild væntrar verðbólgu í hverjum mánuði (EC/AMECO eða ECB SPF)."
skilgreiningar,vextir_10ara,ny_evru_riki,,NaN,"Vextir 10 ára ríkisskuldabréfa í prósentum, hálfsársmeðaltöl mánaðarlegra gagna. Löndin gengu í ESB 2004; dags er ár sem tugabrot og texti er tímabilið. Sótt: Eurostat, irt_lt_mcby_m, https://ec.europa.eu/eurostat/databrowser/view/irt_lt_mcby_m/"
skilgreiningar,vextir_10ara,eystrasalt,,NaN,"Vextir 10 ára ríkisskuldabréfa í prósentum, hálfsársmeðaltöl mánaðarlegra gagna, Lettland, Litháen og Þýskaland. Sótt: Eurostat, irt_lt_mcby_m, sama tafla og að ofan."
utskyringar,fisher,,,NaN,"Raunvextir eru reiknaðir með Fisher-sambandinu án línulegrar nálgunar: r = ((1 + i/100)/(1 + pi/100) - 1)*100, þar sem i eru nafnvextir í prósentum og pi vænt verðbólga í prósentum. Útfærsla: helper_fisher.m."
utskyringar,raunvextir_landsspa,,,NaN,"Dálkurinn raunvextir (landspá) í töflunni: Fisher-samband af ibudalanavextir og vaent_land. Verðtryggða íslenska línan er undantekning; þar er vaxtatalan sjálf raunvextir og engin leiðrétting gerð."
utskyringar,raunvextir_grunnmat,,,NaN,"Grunnmat greinarinnar: Fisher-samband af ibudalanavextir og vaent_grunn, þ.e. vænt verðbólga myntsvæðisins fyrir evrulönd en innlend spá fyrir önnur lönd."
utskyringar,raunvextir_markmid,,,NaN,"Næmnipróf: Fisher-samband af ibudalanavextir og markmid, þ.e. verðbólgumarkmiði viðkomandi myntsvæðis."
utskyringar,r_island_overdtryggt,,,NaN,"Fisher-samband af 9,19 prósent nafnvöxtum (óverðtryggt breytilegt, mars 2026) og 3,5 prósent væntri verðbólgu (Peningamál): (1,0919/1,035 - 1)*100 = 5,50."
utskyringar,r_evra_grunnmat,,,NaN,"Fisher-samband af 3,44 prósent nafnvöxtum (ECB MIR, apríl 2026) og 2,65 prósent væntri verðbólgu (vorspá ESB): (1,0344/1,0265 - 1)*100 = 0,77."
utskyringar,r_evra_markmid,,,NaN,"Fisher-samband af 3,44 prósent nafnvöxtum og 2,00 prósent verðbólgumarkmiði: (1,0344/1,02 - 1)*100 = 1,41."
utskyringar,jafngreidsla,,,NaN,"Mánaðargreiðsla jafngreiðsluláns: M = P*i/(1 - (1+i)^(-n)), þar sem i = r/100/12 og n er fjöldi mánaða (300). Vextir fyrsta mánaðar eru P*i og eignamyndun M - P*i. Reiknað í raunvirði með raunvöxtum. Útfærsla: helper_annuity.m."
utskyringar,aprc_island,,,NaN,"Íslensku APRC/ÁHK-gildin í næmniprófinu: mánaðarleg jafngreiðsla er reiknuð af nafnvöxtum lánsins; síðan er fundinn sá árlegi vaxtafótur sem jafnar núvirði greiðslnanna við lánsfjárhæðina að frádregnum föstum gjöldum (samtals 77.495 kr., sjá gjald_* í fastar). Fyrir verðtryggt lán er fyrst reiknað nafnígildi með nýjustu mældu verðbólgu, (1 + 0,045)*(1 + 0,049) - 1 = 9,62 prósent, og útkoman síðan færð í raunvexti með 3,5 prósent væntri verðbólgu. Útfærsla: table5_real_rates_sensitivity.m."
utskyringar,heildarskuldir,,,NaN,"Árleg raunvaxtabyrði útistandandi íbúðalána: byrði = skuldir_heimila_makr * raunvextir/100, í ma.kr. Munurinn er reiknaður á órúnnuðum tölum og einnig sýndur sem hlutfall af vlf_makr."
utskyringar,halfsarsmedaltol,,,NaN,"Hálfsársmeðaltöl 10 ára vaxta (ny_evru_riki og eystrasalt): meðaltal mánaðarlegra Eurostat-gilda janúar-júní og júlí-desember; dags er miðja tímabilsins sem tugabrot árs."
utskyringar,vaxtamunur_island_finnland,,,NaN,"Raunvaxtamunur íbúðalána: íslenskir verðtryggðir vextir (raunvextir samkvæmt skilgreiningu) að frádregnum finnskum raunvöxtum, sem eru Fisher-samband af finnskum MIR-nafnvöxtum og baseline_expected_hicp_1_2y. Stýrivaxtamunurinn er einfaldur mismunur nafnstýrivaxta."
utskyringar,rikisbref_arsmedaltol,,,NaN,"Ríkisbréfaraðirnar 1992-2002 eru ársmeðaltöl mánaðarlegra EMU-viðmiðsvaxta Eurostat."
fastar,evru_hicp,,,3,"HICP evrusvæðis, apríl 2026 (Eurostat)"
fastar,evru_vaent,,,2.65,"Vænt verðbólga evrusvæðis: vorspá framkvæmdastjórnar ESB 2026, meðaltal 2026-2027"
fastar,evru_markmid,,,2,"Verðbólgumarkmið ECB"
fastar,isl_hicp,,,4.9,"HICP Íslands, apríl 2026 (Eurostat)"
fastar,lan_hofudstoll_mkr,,,60,"Viðmiðunarlán heimilisdæmis: 85% af 70,6 m.kr. íbúð fyrstu kaupenda (HMS 2025)"
fastar,lan_ar,,,25,"Lánstími heimilisdæmis í árum"
fastar,r_island_verdtryggt,,,4.5,"Verðtryggðir bankavextir íbúðalána, markaðstala mars 2026 (Vísir/Seðlabanki Íslands)"
fastar,r_island_overdtryggt,,,5.5,"Raunvextir óverðtryggðs breytilegs láns: 9,19% nafnvextir og 3,5% vænt verðbólga, Fisher"
fastar,r_evra_grunnmat,,,0.77,"ECB MIR apríl 2026 (3,44%) og vorspá ESB (2,65%), Fisher án línulegrar nálgunar"
fastar,r_evra_markmid,,,1.41,"ECB MIR apríl 2026 (3,44%) og 2% verðbólgumarkmið, Fisher"
fastar,skuldir_heimila_makr,,,2896.5,"Útistandandi íbúðalán heimila: Seðlabanki Íslands, fjármálareikningar, 4. ársfj. 2025"
fastar,vlf_makr,,,4956,"Verg landsframleiðsla: Hagstofa Íslands, 2025"
fastar,landsbanki_overdtryggt_breytilegt,,,10.25,"Breytilegir óverðtryggðir vextir, vaxtatafla Landsbankans, júní 2026"
fastar,gjald_lantoku,,,59900,"Lántökugjald, verðskrá Landsbankans"
fastar,gjald_greidslumat,,,12900,"Greiðslumat hjóna/sambúðarfólks, verðskrá Landsbankans"
fastar,gjald_vedbokarvottord,,,2200,"Veðbókarvottorð, verðskrá Landsbankans"
fastar,gjald_rafraen_thinglysing,,,1500,"Rafræn þinglýsing, verðskrá Landsbankans"
fastar,gjald_umsysla_thinglysing,,,995,"Umsýsla vegna rafrænnar þinglýsingar, helmingur af 1.990 kr., verðskrá Landsbankans"
svidsmyndir,r_island,varfaert,,4.5,""
svidsmyndir,r_island,midmat,,4.5,""
svidsmyndir,r_island,haerra,,5.5,""
svidsmyndir,r_evra,varfaert,,1.41,""
svidsmyndir,r_evra,midmat,,0.77,""
svidsmyndir,r_evra,haerra,,0.77,""
tafla_raunvextir,er_evra,Belgía,,1,""
tafla_raunvextir,er_evra,Búlgaría,,1,""
tafla_raunvextir,er_evra,Þýskaland,,1,""
tafla_raunvextir,er_evra,Eistland,,1,""
tafla_raunvextir,er_evra,Írland,,1,""
tafla_raunvextir,er_evra,Grikkland,,1,""
tafla_raunvextir,er_evra,Spánn,,1,""
tafla_raunvextir,er_evra,Frakkland,,1,""
tafla_raunvextir,er_evra,Króatía,,1,""
tafla_raunvextir,er_evra,Ítalía,,1,""
tafla_raunvextir,er_evra,Kýpur,,1,""
tafla_raunvextir,er_evra,Lettland,,1,""
tafla_raunvextir,er_evra,Litháen,,1,""
tafla_raunvextir,er_evra,Lúxemborg,,1,""
tafla_raunvextir,er_evra,Malta,,1,""
tafla_raunvextir,er_evra,Holland,,1,""
tafla_raunvextir,er_evra,Austurríki,,1,""
tafla_raunvextir,er_evra,Portúgal,,1,""
tafla_raunvextir,er_evra,Slóvenía,,1,""
tafla_raunvextir,er_evra,Slóvakía,,1,""
tafla_raunvextir,er_evra,Finnland,,1,""
tafla_raunvextir,er_evra,Tékkland,,0,""
tafla_raunvextir,er_evra,Danmörk,,0,""
tafla_raunvextir,er_evra,Ungverjaland,,0,""
tafla_raunvextir,er_evra,Pólland,,0,""
tafla_raunvextir,er_evra,Rúmenía,,0,""
tafla_raunvextir,er_evra,Svíþjóð,,0,""
tafla_raunvextir,er_evra,Noregur,,0,""
tafla_raunvextir,er_evra,Ísland -- óverðtryggt breytilegt,,0,""
tafla_raunvextir,er_evra,Ísland -- verðtryggt,,0,""
tafla_raunvextir,er_evra,Evrusvæði (viðmið),,1,""
tafla_raunvextir,ibudalanavextir,Belgía,,3.53,""
tafla_raunvextir,ibudalanavextir,Búlgaría,,2.45,""
tafla_raunvextir,ibudalanavextir,Þýskaland,,3.84,""
tafla_raunvextir,ibudalanavextir,Eistland,,4.05,""
tafla_raunvextir,ibudalanavextir,Írland,,3.51,""
tafla_raunvextir,ibudalanavextir,Grikkland,,3.35,""
tafla_raunvextir,ibudalanavextir,Spánn,,2.81,""
tafla_raunvextir,ibudalanavextir,Frakkland,,3.11,""
tafla_raunvextir,ibudalanavextir,Króatía,,2.95,""
tafla_raunvextir,ibudalanavextir,Ítalía,,3.52,""
tafla_raunvextir,ibudalanavextir,Kýpur,,3.25,""
tafla_raunvextir,ibudalanavextir,Lettland,,4.18,""
tafla_raunvextir,ibudalanavextir,Litháen,,3.86,""
tafla_raunvextir,ibudalanavextir,Lúxemborg,,3.49,""
tafla_raunvextir,ibudalanavextir,Malta,,2.05,""
tafla_raunvextir,ibudalanavextir,Holland,,3.63,""
tafla_raunvextir,ibudalanavextir,Austurríki,,3.48,""
tafla_raunvextir,ibudalanavextir,Portúgal,,2.86,""
tafla_raunvextir,ibudalanavextir,Slóvenía,,3,""
tafla_raunvextir,ibudalanavextir,Slóvakía,,3.46,""
tafla_raunvextir,ibudalanavextir,Finnland,,3.03,""
tafla_raunvextir,ibudalanavextir,Tékkland,,4.59,""
tafla_raunvextir,ibudalanavextir,Danmörk,,3.02,""
tafla_raunvextir,ibudalanavextir,Ungverjaland,,6.64,""
tafla_raunvextir,ibudalanavextir,Pólland,,6.6,""
tafla_raunvextir,ibudalanavextir,Rúmenía,,5.72,""
tafla_raunvextir,ibudalanavextir,Svíþjóð,,2.83,""
tafla_raunvextir,ibudalanavextir,Noregur,,5.27,""
tafla_raunvextir,ibudalanavextir,Ísland -- óverðtryggt breytilegt,,9.19,""
tafla_raunvextir,ibudalanavextir,Ísland -- verðtryggt,,4.5,""
tafla_raunvextir,ibudalanavextir,Evrusvæði (viðmið),,3.44,""
tafla_raunvextir,hicp,Belgía,,4.2,""
tafla_raunvextir,hicp,Búlgaría,,6,""
tafla_raunvextir,hicp,Þýskaland,,2.9,""
tafla_raunvextir,hicp,Eistland,,3.2,""
tafla_raunvextir,hicp,Írland,,3.6,""
tafla_raunvextir,hicp,Grikkland,,4.6,""
tafla_raunvextir,hicp,Spánn,,3.5,""
tafla_raunvextir,hicp,Frakkland,,2.5,""
tafla_raunvextir,hicp,Króatía,,5.4,""
tafla_raunvextir,hicp,Ítalía,,2.8,""
tafla_raunvextir,hicp,Kýpur,,3,""
tafla_raunvextir,hicp,Lettland,,2.9,""
tafla_raunvextir,hicp,Litháen,,4.9,""
tafla_raunvextir,hicp,Lúxemborg,,5.2,""
tafla_raunvextir,hicp,Malta,,2.5,""
tafla_raunvextir,hicp,Holland,,2.5,""
tafla_raunvextir,hicp,Austurríki,,3.4,""
tafla_raunvextir,hicp,Portúgal,,3.3,""
tafla_raunvextir,hicp,Slóvenía,,3.4,""
tafla_raunvextir,hicp,Slóvakía,,4.1,""
tafla_raunvextir,hicp,Finnland,,2.4,""
tafla_raunvextir,hicp,Tékkland,,2.1,""
tafla_raunvextir,hicp,Danmörk,,1.2,""
tafla_raunvextir,hicp,Ungverjaland,,2.6,""
tafla_raunvextir,hicp,Pólland,,3.4,""
tafla_raunvextir,hicp,Rúmenía,,9.5,""
tafla_raunvextir,hicp,Svíþjóð,,0.5,""
tafla_raunvextir,hicp,Noregur,,3.4,""
tafla_raunvextir,hicp,Ísland -- óverðtryggt breytilegt,,4.9,""
tafla_raunvextir,hicp,Ísland -- verðtryggt,,4.9,""
tafla_raunvextir,hicp,Evrusvæði (viðmið),,3,""
tafla_raunvextir,vaent_land,Belgía,,3,""
tafla_raunvextir,vaent_land,Búlgaría,,3.4,""
tafla_raunvextir,vaent_land,Þýskaland,,2.8,""
tafla_raunvextir,vaent_land,Eistland,,3.65,""
tafla_raunvextir,vaent_land,Írland,,3.05,""
tafla_raunvextir,vaent_land,Grikkland,,3.05,""
tafla_raunvextir,vaent_land,Spánn,,2.75,""
tafla_raunvextir,vaent_land,Frakkland,,2.1,""
tafla_raunvextir,vaent_land,Króatía,,3.65,""
tafla_raunvextir,vaent_land,Ítalía,,2.5,""
tafla_raunvextir,vaent_land,Kýpur,,2.9,""
tafla_raunvextir,vaent_land,Lettland,,2.9,""
tafla_raunvextir,vaent_land,Litháen,,3.55,""
tafla_raunvextir,vaent_land,Lúxemborg,,2.25,""
tafla_raunvextir,vaent_land,Malta,,2.5,""
tafla_raunvextir,vaent_land,Holland,,2.85,""
tafla_raunvextir,vaent_land,Austurríki,,2.75,""
tafla_raunvextir,vaent_land,Portúgal,,2.65,""
tafla_raunvextir,vaent_land,Slóvenía,,3,""
tafla_raunvextir,vaent_land,Slóvakía,,3.75,""
tafla_raunvextir,vaent_land,Finnland,,2.15,""
tafla_raunvextir,vaent_land,Tékkland,,2.75,""
tafla_raunvextir,vaent_land,Danmörk,,1.85,""
tafla_raunvextir,vaent_land,Ungverjaland,,3.15,""
tafla_raunvextir,vaent_land,Pólland,,3.25,""
tafla_raunvextir,vaent_land,Rúmenía,,5.35,""
tafla_raunvextir,vaent_land,Svíþjóð,,1.65,""
tafla_raunvextir,vaent_land,Noregur,,2.85,""
tafla_raunvextir,vaent_land,Ísland -- óverðtryggt breytilegt,,3.5,""
tafla_raunvextir,vaent_land,Ísland -- verðtryggt,,NaN,""
tafla_raunvextir,vaent_land,Evrusvæði (viðmið),,2.65,""
tafla_raunvextir,vaent_grunn,Belgía,,2.65,""
tafla_raunvextir,vaent_grunn,Búlgaría,,2.65,""
tafla_raunvextir,vaent_grunn,Þýskaland,,2.65,""
tafla_raunvextir,vaent_grunn,Eistland,,2.65,""
tafla_raunvextir,vaent_grunn,Írland,,2.65,""
tafla_raunvextir,vaent_grunn,Grikkland,,2.65,""
tafla_raunvextir,vaent_grunn,Spánn,,2.65,""
tafla_raunvextir,vaent_grunn,Frakkland,,2.65,""
tafla_raunvextir,vaent_grunn,Króatía,,2.65,""
tafla_raunvextir,vaent_grunn,Ítalía,,2.65,""
tafla_raunvextir,vaent_grunn,Kýpur,,2.65,""
tafla_raunvextir,vaent_grunn,Lettland,,2.65,""
tafla_raunvextir,vaent_grunn,Litháen,,2.65,""
tafla_raunvextir,vaent_grunn,Lúxemborg,,2.65,""
tafla_raunvextir,vaent_grunn,Malta,,2.65,""
tafla_raunvextir,vaent_grunn,Holland,,2.65,""
tafla_raunvextir,vaent_grunn,Austurríki,,2.65,""
tafla_raunvextir,vaent_grunn,Portúgal,,2.65,""
tafla_raunvextir,vaent_grunn,Slóvenía,,2.65,""
tafla_raunvextir,vaent_grunn,Slóvakía,,2.65,""
tafla_raunvextir,vaent_grunn,Finnland,,2.65,""
tafla_raunvextir,vaent_grunn,Tékkland,,2.75,""
tafla_raunvextir,vaent_grunn,Danmörk,,1.85,""
tafla_raunvextir,vaent_grunn,Ungverjaland,,3.15,""
tafla_raunvextir,vaent_grunn,Pólland,,3.25,""
tafla_raunvextir,vaent_grunn,Rúmenía,,5.35,""
tafla_raunvextir,vaent_grunn,Svíþjóð,,1.65,""
tafla_raunvextir,vaent_grunn,Noregur,,2.85,""
tafla_raunvextir,vaent_grunn,Ísland -- óverðtryggt breytilegt,,3.5,""
tafla_raunvextir,vaent_grunn,Ísland -- verðtryggt,,NaN,""
tafla_raunvextir,vaent_grunn,Evrusvæði (viðmið),,2.65,""
tafla_raunvextir,markmid,Belgía,,2,""
tafla_raunvextir,markmid,Búlgaría,,2,""
tafla_raunvextir,markmid,Þýskaland,,2,""
tafla_raunvextir,markmid,Eistland,,2,""
tafla_raunvextir,markmid,Írland,,2,""
tafla_raunvextir,markmid,Grikkland,,2,""
tafla_raunvextir,markmid,Spánn,,2,""
tafla_raunvextir,markmid,Frakkland,,2,""
